10
3 3
0 1 10
0 2 12
0 3 14
4 6
3 4 12
1 2 7
2 3 5
0 1 10
0 3 12
0 4 11
5 9
0 2 11
2 3 14
0 1 14
1 3 10
1 2 10
0 5 1
2 5 13
4 5 11
1 4 11
8 17
0 2 37
0 5 2
3 7 37
0 1 32
1 6 12
2 6 22
4 8 31
3 6 37
5 6 18
2 5 13
0 6 33
1 7 21
2 4 16
1 4 16
1 2 23
1 3 11
6 8 8
11 24
6 7 29
1 2 30
5 8 17
3 5 46
8 11 26
0 5 34
0 10 10
2 5 28
0 2 38
7 8 41
1 8 47
3 10 10
6 10 42
2 10 20
3 7 21
4 7 24
1 10 27
4 9 40
5 6 29
2 6 42
1 6 5
2 9 44
2 7 12
0 9 7
14 48
7 11 9
4 7 25
10 14 28
2 11 24
9 12 21
5 10 44
7 14 29
0 12 27
4 8 7
7 10 24
0 6 16
0 8 40
3 6 35
6 9 41
8 13 38
6 10 44
3 13 31
9 11 35
0 11 35
5 9 3
0 9 17
0 5 40
6 13 29
2 9 41
11 13 36
1 5 8
2 10 18
2 14 26
1 11 20
1 10 43
1 6 18
0 7 10
9 13 45
3 7 14
6 12 12
4 14 7
0 1 43
3 12 39
2 4 28
1 14 26
1 9 34
2 7 38
1 2 37
4 5 47
10 12 43
4 12 25
1 12 11
4 10 24
13 49
3 4 41
3 8 26
1 10 24
10 12 14
8 10 32
6 9 1
1 13 27
4 5 1
8 11 34
7 9 24
0 1 40
8 12 13
6 10 40
10 11 46
5 8 10
12 13 18
6 11 41
0 12 40
3 5 33
2 11 45
6 12 9
5 6 25
1 3 43
4 9 1
9 13 7
5 12 2
3 12 31
1 9 27
4 11 39
11 12 12
0 2 10
5 13 26
0 4 23
3 6 16
4 8 49
2 10 16
6 13 37
0 5 30
9 10 11
2 5 36
5 10 40
1 6 13
2 3 23
3 10 12
1 2 9
0 9 5
2 9 12
0 7 31
0 13 49
12 43
5 9 25
4 10 26
1 4 13
6 10 39
6 11 12
1 11 16
7 10 27
0 9 46
2 8 33
0 6 38
6 8 36
3 6 27
7 11 46
0 5 26
2 10 43
4 7 45
2 7 23
4 5 16
0 11 15
9 10 2
4 8 17
0 10 10
2 6 10
2 4 2
3 10 33
2 3 30
3 8 10
5 6 16
8 11 18
1 3 20
1 10 23
0 7 31
1 2 2
1 7 17
5 10 24
6 9 9
1 6 22
0 1 22
7 12 5
10 12 26
2 5 26
1 9 44
2 12 21
11 34
4 9 37
2 10 43
3 7 17
7 11 22
6 10 12
0 7 33
1 3 28
1 6 36
4 7 31
2 11 34
1 8 13
0 8 26
1 9 22
3 10 47
3 5 3
1 7 13
0 9 31
5 10 48
6 9 36
0 1 42
7 9 9
0 6 49
1 11 5
2 5 27
2 7 44
8 10 26
0 10 40
3 8 15
3 9 7
0 4 34
1 2 26
9 10 17
1 10 42
7 8 39
10 21
7 9 22
1 6 14
0 8 29
1 7 45
1 3 6
8 10 34
1 9 44
0 7 44
0 6 39
3 7 16
1 5 47
6 7 45
4 8 20
3 8 8
1 4 11
3 5 34
2 8 27
2 7 30
4 9 27
5 6 32
6 7 14
9 19
4 8 35
4 5 43
5 6 10
2 8 39
6 7 8
1 6 36
2 4 49
0 8 19
5 8 33
4 7 31
0 5 30
2 6 47
0 6 31
0 2 25
3 4 41
0 3 22
1 3 14
2 3 36
8 9 38
6 14
2 6 47
2 5 13
0 3 23
0 6 36
4 6 40
0 2 17
0 1 25
1 2 4
1 6 32
3 5 28
3 4 16
1 5 37
5 6 9
2 4 34
